City,Country,Latitude,Longitude,Temperature (C),Humidity (%),Cloudiness (%),Wind Speed (m/s),Datetime
Clearwater,US,27.9659,-82.8001,27.81,87,40,3.58,1627217649
Valparaíso,CL,-33.0393,-71.6273,10.82,85,0,2.06,1627217650
San Gabriel,US,34.0961,-118.1058,22.87,81,100,1.16,1627217651
Rangāpāra,IN,26.8167,92.65,27.89,90,100,0.89,1627217657
Chardara,KZ,41.2547,67.9692,39.27,12,0,5.23,1627217657
Raudeberg,NO,61.9875,5.1352,21.88,91,28,4.22,1627217658
Broome,US,42.2506,-75.833,24.15,91,92,0.45,1627217659
Magaria,NE,12.9983,8.9099,32.48,45,100,5.11,1627217660
Cabedelo,BR,-6.9811,-34.8339,26.37,69,7,6.86,1627217417
Faanui,PF,-16.4833,-151.75,25.51,66,7,4.89,1627217661
Mikun',RU,62.3547,50.0771,17.42,41,68,3.4,1627217663
Dok Kham Tai,TH,19.1624,99.9934,23.48,96,100,1.91,1627217663
Sorong,ID,-0.8833,131.25,25.74,80,100,3.88,1627217664
Kieta,PG,-6.2167,155.6333,25.84,82,98,0.54,1627217665
Luganville,VU,-15.5333,167.1667,25.24,88,48,0.88,1627217666
Katangli,RU,51.7102,143.2326,19.31,92,12,2.16,1627217667
Topeka,US,39.0483,-95.678,26.05,83,90,6.17,1627217667
Nurota,UZ,40.5614,65.6886,41.05,9,0,10.26,1627217668
Riihimäki,FI,60.7377,24.7773,27.77,41,99,1.56,1627217669
Alice Springs,AU,-23.7,133.8833,11.75,32,31,0.0,1627217670
General Pico,AR,-35.6566,-63.7568,8.03,57,12,4.0,1627217671
Phetchaburi,TH,12.9667,99.5833,26.77,75,100,3.47,1627217672
Las Tunas,CU,20.9617,-76.9511,26.87,81,16,2.22,1627217673
Haines Junction,CA,60.7522,-137.5108,9.97,76,100,1.03,1627217674
Çan,TR,40.0333,27.0524,29.6,37,11,8.74,1627217675
Mpanda,TZ,-6.3655,31.0409,27.1,27,5,4.42,1627217676
Laguna,US,38.421,-121.4238,25.12,69,20,0.89,1627217677
Troitskiy,RU,57.0603,63.7481,20.25,34,5,5.18,1627217678
Sennoy,RU,52.1509,46.9631,23.45,41,61,2.47,1627217679
Kerikeri,NZ,-35.2268,173.9474,13.84,95,100,5.81,1627217680
Kérouané,GN,9.2667,-9.0167,25.84,75,81,2.15,1627217681
Boden,SE,65.8252,21.6886,20.0,38,92,1.35,1627217682
Maningrida,AU,-12.0667,134.2667,23.7,86,84,3.92,1627217683
Bruneck,IT,46.7958,11.9364,24.25,73,100,2.37,1627217683
Rafrāf,TN,37.1904,10.1837,42.18,42,2,9.69,1627217685
Cockburn Town,TC,21.4612,-71.1419,27.62,80,7,4.89,1627217686
Kembé,CF,4.6228,21.8865,29.31,59,90,2.65,1627217686
Tayshet,RU,55.9342,98.0044,21.28,69,51,2.28,1627217688
Colón,PA,9.3592,-79.9014,25.69,88,100,3.11,1627217689
Saint-Louis,SN,16.3333,-15.0,33.8,40,100,4.1,1627217691
Songyuan,CN,45.1171,124.8568,23.11,95,100,2.9,1627217691
Kavaratti,IN,10.5669,72.642,27.08,80,100,11.21,1627217693
Inhambane,MZ,-23.865,35.3833,20.99,60,40,3.09,1627217694
Richards Bay,ZA,-28.783,32.0377,19.85,55,8,3.88,1627217694
Urengoy,RU,65.9667,78.3667,18.83,62,100,2.52,1627217649
Kahului,US,20.8947,-156.47,25.59,94,39,5.36,1627217696
Sitka,US,57.0531,-135.33,11.94,87,90,0.0,1627217697
Uyuni,BO,-20.4597,-66.825,6.53,38,99,5.1,1627217699
Port Pirie,AU,-33.1833,138.0167,11.05,89,50,3.69,1627217700
Kismayo,SO,-0.3582,42.5454,25.97,65,7,11.25,1627217700
Rapid Valley,US,44.0625,-103.1463,28.68,33,3,0.89,1627217701
Pokhara,NP,28.2333,83.9833,24.69,93,100,1.01,1627217703
Río Tercero,AR,-32.173,-64.1141,9.89,59,0,6.55,1627217704
Fukuechō,JP,32.6881,128.8419,27.32,77,100,6.06,1627217705
Nehe,CN,48.4833,124.8333,21.13,96,100,3.09,1627217706
Koumac,NC,-20.5667,164.2833,20.89,80,6,3.69,1627217707
Kumluca,TR,36.3703,30.2869,31.43,48,3,4.02,1627217708
Angoulême,FR,45.65,0.15,22.53,64,100,4.12,1627217710
Bärnbach,AT,47.0333,15.85,31.64,34,97,5.46,1627217712
Mackay,AU,-21.15,149.2,14.47,82,3,2.06,1627217712
Xinzhi,CN,36.4989,111.7047,27.8,59,0,2.71,1627217713
Pangnirtung,CA,66.1451,-65.7125,10.22,84,100,4.92,1627217714
Shaunavon,CA,49.6501,-108.4181,15.88,41,0,2.75,1627217715
Clyde River,CA,70.4692,-68.5914,1.13,100,90,3.6,1627217715
Gerāsh,IR,27.6652,54.1371,38.08,21,6,1.36,1627217716
Gorontalo,ID,0.5412,123.0595,24.55,90,85,1.79,1627217717
Shimoda,JP,34.6667,138.95,23.95,84,1,3.24,1627217720
Malumfashi,NG,11.7853,7.6218,27.73,62,100,4.2,1627217720
Velyka Mykhaylivka,UA,47.0794,29.8514,29.99,30,21,1.34,1627217723
Lieksa,FI,63.3167,30.0167,19.34,60,100,1.84,1627217724
Krasnosel'kup,RU,65.7,82.4667,19.01,68,63,2.58,1627217728
Tete,MZ,-16.1564,33.5867,22.05,46,75,5.66,1627217728
Kyabram,AU,-36.3167,145.05,10.49,92,94,6.17,1627217729
Wainwright,CA,52.839,-110.8572,13.95,54,100,3.61,1627217731
Karratha,AU,-20.7377,116.8463,22.4,47,1,1.94,1627217732
Mogwase,ZA,-25.185,27.2665,15.55,24,0,2.23,1627217741
Roblin,CA,51.23,-101.3565,15.43,48,25,3.14,1627217742
Naryan-Mar,RU,67.6713,53.087,10.02,71,100,6.53,1627217743
Villa Vicente Guerrero,MX,19.1194,-98.1708,8.66,81,5,2.07,1627217744
Valley City,US,46.9233,-98.0032,16.41,94,1,0.0,1627217744
Pareora,NZ,-44.4871,171.2132,9.54,75,100,4.31,1627217745
Hay River,CA,60.8156,-115.7999,5.99,93,20,0.51,1627217746
Teguise,ES,29.0605,-13.564,25.12,54,0,11.83,1627217747
Colac,AU,-38.3333,143.5833,10.35,93,100,6.53,1627217748
Saldanha,ZA,-33.0117,17.9442,23.03,43,100,9.38,1627217748
Vao,NC,-22.6667,167.4833,21.57,77,57,5.48,1627217749
Cabo San Lucas,MX,22.8909,-109.9124,28.23,77,1,1.34,1627217750
Bull Savanna,JM,17.8868,-77.5902,26.2,70,20,1.29,1627217751
Tazovsky,RU,67.4667,78.7,15.51,63,100,2.54,1627217752
Lompoc,US,34.6391,-120.4579,15.77,90,90,0.0,1627217753
Nelson Bay,AU,-32.7167,152.15,12.27,57,0,1.34,1627217754
Flin Flon,CA,54.7682,-101.865,14.91,94,75,2.06,1627217755
Guamo,CO,4.0308,-74.9701,24.92,71,100,0.75,1627217755
Kirakira,SB,-10.4544,161.9205,25.85,84,28,2.92,1627217756
Avinurme,EE,58.9822,26.8642,25.5,38,14,1.75,1627217757
Gamba,GA,-2.65,10.0,25.67,66,92,5.19,1627217758
Daru,PG,-9.0763,143.2092,25.22,84,76,6.51,1627217759
Tari,NG,12.4086,4.4914,32.35,49,49,4.18,1627217760
Touros,BR,-5.1989,-35.4608,27.5,60,15,8.01,1627217761
Äänekoski,FI,62.6946,25.818,26.03,47,87,2.83,1627217763
Morón,AR,-34.6534,-58.6198,16.68,98,100,3.33,1627217764
Hargeisa,SO,9.56,44.065,22.46,45,98,15.58,1627217765
Gal'bshtadt,RU,53.2264,78.9845,29.19,39,12,1.17,1627217768
Vostok,RU,46.4856,135.8833,20.17,96,61,1.99,1627217760
Khunti,IN,23.0833,85.2833,29.06,86,35,4.46,1627217769
Fuling,CN,29.7022,107.3919,27.01,74,0,1.35,1627217770
Iquitos,PE,-3.7481,-73.2472,24.02,94,90,1.54,1627217771
Mildura,AU,-34.2,142.15,11.98,87,90,4.12,1627217772
Pirgos,GR,35.1167,25.7178,27.49,62,8,8.69,1627217773
Ternate,ID,0.8,127.4,27.45,80,100,3.88,1627217773
Porto-Novo,BJ,6.4965,2.6036,28.9,61,82,5.47,1627217774
Uauá,BR,-9.8414,-39.4817,24.99,51,7,9.06,1627217775
Ciudad Guayana,VE,8.3533,-62.6528,25.85,91,88,1.14,1627217778
Ust'-Ilimsk,RU,58.0006,102.6619,22.99,50,100,2.1,1627217778
Dabola,GN,10.75,-11.1167,27.9,67,100,1.97,1627217779
Paciran,ID,-6.8767,112.3761,25.79,69,7,3.26,1627217781
Presidencia Roque Sáenz Peña,AR,-26.7852,-60.4388,25.59,42,0,3.31,1627217782
Kamenka,RU,51.3223,42.7678,22.97,43,100,1.54,1627217783
Te Anau,NZ,-45.4167,167.7167,8.81,90,100,0.77,1627217784
Kushmurun,KZ,52.4503,64.6311,26.39,34,9,6.36,1627217784
Aswān,EG,24.0934,32.907,39.61,12,0,5.88,1627217653
Lashma,RU,54.9321,41.1438,22.38,32,71,2.28,1627217786
Loreto,MX,22.2667,-101.9667,15.32,64,6,1.51,1627217787
